Image,Title_URL,Label,meta,postbedrooms,postsqft,Price
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-upstairs-bedroom-bathroom/7814502391.html,Upstairs 6 bedroom 2 bathroom house for rent near Lord Byng UBC,23 mins ago6br2300ft235xx W 19th Ave Vancouver,6br,2300ft2,"$6,500"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bathroom-point-grey/7819406141.html,4 bedroom 4 bathroom Point Grey Vancouver West near Lord Byng UBC,23 mins ago4br2250ft249xxx W 6th Ave Vancouver,4br,2250ft2,"$6,300"
,https://vancouver.craigslist.org/pml/apa/d/pitt-meadows-spacious-bedroom-bathroom/7821650326.html,Spacious 2 bedroom / 1 bathroom basement Suite for rent,24 mins ago2brPitt Meadows,2br,,"$1,800"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-laneway-house-bedroom/7818935301.html,Laneway house 2 bedroom 2 bathroom Furnished near Lord Byng UBC,24 mins ago2br650ft2313xx Courtenay Street Vancouver,2br,650ft2,"$2,600"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-new-loft-studio/7821650251.html,"Furnished, New Loft Studio Near UBC","25 mins ago1brPoint Grey, Vancouver, BC",1br,,"$1,945"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-bed-den-860-sqft-yaletown/7816621428.html,"**$3,100 / 1 Bed + Den 860 sq.ft.- Yaletown Parkwest **",30 mins ago1br860ft2Vancouver,1br,860ft2,"$3,100"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-lovely-studio-apartment-in/7821650033.html,Lovely Studio Apartment in the Heart of Kitsilano!,30 mins ago1brKitsilano Vancouver West,1br,,"$1,860"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/bnc/apa/d/new-westminster-charming-and-modern-one/7814872637.html,Charming and Modern One-Bedroom in Central Location W/PRIVATE Entry,31 mins ago1br625ft2New Westminster,1br,625ft2,"$2,545"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-suite-for-rent/7816828685.html,1 Bedroom Suite For Rent,33 mins ago1brVancouver,1br,,"$1,400"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-top-floor-stylish-spacious/7817586491.html,**TOP FLOOR STYLISH SPACIOUS 1 bedroom with BALCONY**,"33 mins ago1br595ft2Easy access to bus, skytrain, for downtown, UBC, Richmond",1br,595ft2,"$2,195"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-top-floor-spacious/7818478309.html,"**TOP FLOOR SPACIOUS , UNFURNISHED RENOVATED 2 BEDROOM **","33 mins ago2br985ft2Easy access to bus, skytrain, for downtown, UBC, Richmond",2br,985ft2,"$2,595"
,https://vancouver.craigslist.org/nvn/apa/d/port-moody-adorable-bachelor-suite-in/7821649233.html,Adorable bachelor suite in North Vancouver,47 mins agoNorth Vancouver,,,"$1,500"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-unique-unfurnished-bright/7818941207.html,Unique unfurnished  bright corner one bedroom available FEBRUARY 1ST,1h ago1br560ft2Downtown,1br,560ft2,"$2,500"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-dunbar-bedroom/7817088558.html,Furnished Dunbar 1 bedroom basement,1h ago1br685ft2Coquitlam North,1br,685ft2,"$1,800"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/rds/apa/d/surrey-surrey-centrer-condo-studio-no/7815726103.html,Surrey Centrer condo studio ( No parking),1h ago322ft2Surrey,,322ft2,"$1,600"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/rds/apa/d/burnaby-metrotown-ground-floor-bedroom/7815727168.html,Metrotown ground floor 3 bedroom 1 bathroom suite,1h ago3br1100ft2Burnaby,3br,1100ft2,"$2,800"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-spectacular-bedroom-bathroom/7821647808.html,"Spectacular 2 Bedroom, 2 Bathroom with Water Views and Mountain Views",1h ago2br1230ft2Vancouver,2br,1230ft2,"$5,995"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/rds/apa/d/richmond-richmond-high-end-2b2b1den/7819666231.html,Richmond high end 2b+2b+1den condo with AC+EV Parking,1h ago2br978ft2Richmond,2br,978ft2,"$3,300"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/rds/apa/d/delta-tsawwassen-central-well/7816416746.html,Tsawwassen Central Well Maintained 4 Bedroom +3 Bathroom whole House,1h ago4br2635ft2Tsawwassen,4br,2635ft2,"$3,900"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-home-with-views-in/7821647827.html,2 Bed 2 Bath Home with Views in Olympic Village,1h ago2br1005ft2Vancouver,2br,1005ft2,"$5,495"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/rds/apa/d/surrey-bed-den-condo-21st-floor-view/7821647692.html,2 Bed + Den Condo | 21st Floor View | Parking Included,1h ago2br745ft2Surrey,2br,745ft2,"$2,750"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-luxurious-bed-bath-with/7821647510.html,"Luxurious 3 Bed, 3 Bath with Mountain Views and Fireplace",1h ago3br2800ft2West End,3br,2800ft2,"$11,995"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-unfurnished-bed-den-bath-home/7821647814.html,Unfurnished - 2 Bed + Den 1 Bath Home in Prestigious Yale,1h ago2br935ft2Vancouver,2br,935ft2,"$3,495"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-modern-bedroom-fully/7821647795.html,Modern 2-Bedroom Fully Furnished Suite in Vibrant Chinatown,1h ago2br859ft2Chinatown,2br,859ft2,"$4,495"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-suite-for-rent-near/7821647724.html,1 Bedroom Suite for Rent Near UBC,1h ago1brVancouver,1br,,"$1,850"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/rds/apa/d/surrey-inner-northwest-brand-new-bed/7821647639.html,Brand New 1 bed 1 bath for rent,"1h ago1br565ft2King George, Surrey",1br,565ft2,"$2,300"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-lovely-bed-bath-entire-floor/7821647571.html,Lovely 2 Bed 1 Bath Entire Floor Unit with Private Entrance,1h ago2br1500ft2Kitsilano,2br,1500ft2,"$3,995"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-chic-bed-den-bath-suite-in/7821647556.html,Chic 2 Bed + Den 1 Bath Suite in Yaletown with City Views,1h ago2br935ft2Vancouver,2br,935ft2,"$3,495"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-bedroom-lower-level/7821647540.html,Beautiful 3 Bedroom Lower Level Suite with Prime Kitsilano Location,1h ago3br2500ft2Vancouver,3br,2500ft2,"$6,995"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/van/apa/d/vancouver-elegant-bedroom-bathroom/7821647523.html,Elegant 2 Bedroom 2 Bathroom Corner Suite with Den and Private Balcony,1h ago2br940ft2Yaletown,2br,940ft2,"$5,500"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/pml/apa/d/surrey-inner-northwest-surrey-central/7821647311.html,Surrey Central Prime Studio + 1 Bathroom next to SFU - Available Now,1h ago300ft2Surrey Central,,300ft2,"$1,750"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",https://vancouver.craigslist.org/rch/apa/d/surrey-inner-northwest-surrey-central/7821647304.html,Surrey Central Prime Studio + 1 Bathroom next to SFU - Available Now,1h ago300ft2Surrey Central,,300ft2,"$1,750"
